Trade_ID,Descr,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Total PnL,My ret (%),Joachim ret (%),slippage,cum slippage,joachim ent,joachim ext
6e49c6f6d9_NQ1Ind_266,NASDAQ 100 E-MINI,NQ1 Index,16/01/2013,18/01/2013,4421,4442.25,89923140,1017,437100,,,,,,
6e49c6f6d9_NQ1Ind_267,NASDAQ 100 E-MINI,NQ1 Index,20/03/2013,25/03/2013,4492.5,4506.5,143220900,1594,561765,,,,,,
6e49c6f6d9_NQ1Ind_268,NASDAQ 100 E-MINI,NQ1 Index,08/04/2013,10/04/2013,4476,4512,199271520,2226,1559670,,,,,,
6e49c6f6d9_NQ1Ind_269,NASDAQ 100 E-MINI,NQ1 Index,16/04/2013,22/04/2013,4496.5,4485.5,118707600,1320,-290830,,,,,,
6e49c6f6d9_NQ1Ind_270,NASDAQ 100 E-MINI,NQ1 Index,05/06/2013,10/06/2013,4687.75,4696.5,225199510,2402,334330,,,,,,
6e49c6f6d9_NQ1Ind_271,NASDAQ 100 E-MINI,NQ1 Index,14/06/2013,18/06/2013,4675.5,4687.75,137553210,1471,349735,,,,,,
6e49c6f6d9_NQ1Ind_272,NASDAQ 100 E-MINI,NQ1 Index,01/07/2013,08/07/2013,4619.75,4680,98308280,1064,1293265,,,,,,
6e49c6f6d9_NQ1Ind_273,NASDAQ 100 E-MINI,NQ1 Index,18/07/2013,24/07/2013,4797.75,4756.5,114858135,1197,-1064155,,,,,,
6e49c6f6d9_NQ1Ind_274,NASDAQ 100 E-MINI,NQ1 Index,12/08/2013,14/08/2013,4831.75,4857.25,191530570,1982,1005985,,,,,,
6e49c6f6d9_NQ1Ind_275,NASDAQ 100 E-MINI,NQ1 Index,28/08/2013,30/08/2013,4778,4812,123750200,1295,891440,,,,,,
6e49c6f6d9_NQ1Ind_276,NASDAQ 100 E-MINI,NQ1 Index,16/09/2013,19/09/2013,4897.25,4950.25,120864130,1234,1466230,,,,,,
6e49c6f6d9_NQ1Ind_277,NASDAQ 100 E-MINI,NQ1 Index,25/09/2013,27/09/2013,4939,4955.5,138390780,1401,486180,,,,,,
6e49c6f6d9_NQ1Ind_278,NASDAQ 100 E-MINI,NQ1 Index,10/10/2013,11/10/2013,4858.25,4919.25,128646460,1324,1399340,,,,,,
6e49c6f6d9_NQ1Ind_279,NASDAQ 100 E-MINI,NQ1 Index,19/11/2013,22/11/2013,5109.75,5126.5,146138850,1430,474345,,,,,,
6e49c6f6d9_NQ1Ind_280,NASDAQ 100 E-MINI,NQ1 Index,12/12/2013,18/12/2013,5197,5191.25,164121260,1579,-159505,,,,,,
6e49c6f6d9_NQ1Ind_281,NASDAQ 100 E-MINI,NQ1 Index,07/01/2014,08/01/2014,5249.25,5279.75,143304525,1365,804590,,,,,,
6e49c6f6d9_NQ1Ind_282,NASDAQ 100 E-MINI,NQ1 Index,14/01/2014,15/01/2014,5241,5305.25,134064780,1279,1450765,,,,,,
6e49c6f6d9_NQ1Ind_283,NASDAQ 100 E-MINI,NQ1 Index,28/01/2014,03/02/2014,5234.5,5245.5,105632210,1009,206400,,,,,,
6e49c6f6d9_NQ1Ind_284,NASDAQ 100 E-MINI,NQ1 Index,28/02/2014,05/03/2014,5433,5450,110289900,1015,330080,,,,,,
6e49c6f6d9_NQ1Ind_285,NASDAQ 100 E-MINI,NQ1 Index,13/03/2014,19/03/2014,5438.25,5434.25,169999695,1563,-167775,,,,,,
6e49c6f6d9_NQ1Ind_286,NASDAQ 100 E-MINI,NQ1 Index,25/03/2014,31/03/2014,5349.5,5311,117795990,1101,-854570,,,,,,
6e49c6f6d9_NQ1Ind_287,NASDAQ 100 E-MINI,NQ1 Index,08/04/2014,10/04/2014,5237.75,5331.75,87679935,837,1535320,,,,,,
6e49c6f6d9_NQ1Ind_288,NASDAQ 100 E-MINI,NQ1 Index,05/05/2014,09/05/2014,5317.75,5272,76469245,719,-692385,,,,,,
6e49c6f6d9_NQ1Ind_289,NASDAQ 100 E-MINI,NQ1 Index,16/05/2014,20/05/2014,5301.75,5349.75,122894565,1159,1105520,,,,,,
6e49c6f6d9_NQ1Ind_290,NASDAQ 100 E-MINI,NQ1 Index,25/06/2014,30/06/2014,5540.25,5577.25,220169535,1987,1752220,,,,,,
6e49c6f6d9_NQ1Ind_291,NASDAQ 100 E-MINI,NQ1 Index,10/07/2014,14/07/2014,5631.25,5643.75,194841250,1730,424350,,,,,,
6e49c6f6d9_NQ1Ind_292,NASDAQ 100 E-MINI,NQ1 Index,18/07/2014,21/07/2014,5621.75,5675.25,164717275,1465,1418820,,,,,,
6e49c6f6d9_NQ1Ind_293,NASDAQ 100 E-MINI,NQ1 Index,08/08/2014,12/08/2014,5602.5,5653.25,122022450,1089,1098545,,,,,,
6e49c6f6d9_NQ1Ind_294,NASDAQ 100 E-MINI,NQ1 Index,24/09/2014,25/09/2014,5790.25,5838.5,177760675,1535,1302750,,,,,,
6e49c6f6d9_NQ1Ind_295,NASDAQ 100 E-MINI,NQ1 Index,14/10/2014,20/10/2014,5551.75,5565,72505855,653,172035,,,,,,
6e49c6f6d9_NQ1Ind_296,NASDAQ 100 E-MINI,NQ1 Index,02/12/2014,08/12/2014,6039.75,6066,169354590,1402,856555,,,,,,
6e49c6f6d9_NQ1Ind_297,NASDAQ 100 E-MINI,NQ1 Index,11/12/2014,17/12/2014,5980.5,5846.5,149871330,1253,-3163540,,,,,,
6e49c6f6d9_NQ1Ind_298,NASDAQ 100 E-MINI,NQ1 Index,02/01/2015,08/01/2015,5991,5910.5,89146080,744,-1222085,,,,,,
6e49c6f6d9_NQ1Ind_299,NASDAQ 100 E-MINI,NQ1 Index,14/01/2015,21/01/2015,5916.75,5924.25,76444410,646,90580,,,,,,
6e49c6f6d9_NQ1Ind_300,NASDAQ 100 E-MINI,NQ1 Index,28/01/2015,03/02/2015,5935.75,5939,80370055,677,42300,,,,,,
6e49c6f6d9_NQ1Ind_301,NASDAQ 100 E-MINI,NQ1 Index,26/02/2015,27/02/2015,6195,6218.75,99987300,807,471200,,,,,,
6e49c6f6d9_NQ1Ind_302,NASDAQ 100 E-MINI,NQ1 Index,12/03/2015,17/03/2015,6066,6112.75,117801720,971,974980,,,,,,
6e49c6f6d9_NQ1Ind_303,NASDAQ 100 E-MINI,NQ1 Index,20/03/2015,30/03/2015,6186.75,6092.25,122868855,993,-1685955,,,,,,
6e49c6f6d9_NQ1Ind_304,NASDAQ 100 E-MINI,NQ1 Index,15/04/2015,16/04/2015,6162.5,6191,113636500,922,523260,,,,,,
6e49c6f6d9_NQ1Ind_305,NASDAQ 100 E-MINI,NQ1 Index,16/06/2015,17/06/2015,6199.25,6223.5,131052145,1057,503430,,,,,,
6e49c6f6d9_NQ1Ind_306,NASDAQ 100 E-MINI,NQ1 Index,08/07/2015,13/07/2015,6193.5,6155.25,102316620,826,-591030,,,,,,
6e49c6f6d9_NQ1Ind_307,NASDAQ 100 E-MINI,NQ1 Index,24/07/2015,30/07/2015,6391.25,6334,89477500,700,-788585,,,,,,
6e49c6f6d9_NQ1Ind_308,NASDAQ 100 E-MINI,NQ1 Index,04/08/2015,06/08/2015,6344.25,6363,97067025,765,285080,,,,,,
6e49c6f6d9_NQ1Ind_309,NASDAQ 100 E-MINI,NQ1 Index,24/08/2015,27/08/2015,5972,5994,67841920,568,170235,,,,,,
6e49c6f6d9_NQ1Ind_310,NASDAQ 100 E-MINI,NQ1 Index,02/09/2015,09/09/2015,5929.5,6071.5,41980860,354,972765,,,,,,
6e49c6f6d9_NQ1Ind_311,NASDAQ 100 E-MINI,NQ1 Index,25/09/2015,01/10/2015,6025,5933,53381500,443,-967050,,,,,,
6e49c6f6d9_NQ1Ind_312,NASDAQ 100 E-MINI,NQ1 Index,14/10/2015,16/10/2015,6120.25,6188.75,79563250,650,915510,,,,,,
6e49c6f6d9_NQ1Ind_313,NASDAQ 100 E-MINI,NQ1 Index,16/11/2015,18/11/2015,6281,6349.25,82029860,653,868155,,,,,,
6e49c6f6d9_NQ1Ind_314,NASDAQ 100 E-MINI,NQ1 Index,27/11/2015,16/12/2015,6456.25,6387,107173750,830,425510,,,,,,
6e49c6f6d9_NQ1Ind_315,NASDAQ 100 E-MINI,NQ1 Index,05/01/2016,11/01/2016,6288,6047.75,65269440,519,-2746150,,,,,,
6e49c6f6d9_NQ1Ind_316,NASDAQ 100 E-MINI,NQ1 Index,21/01/2016,25/01/2016,5916.5,6031,56798400,480,1110650,,,,,,
6e49c6f6d9_NQ1Ind_317,NASDAQ 100 E-MINI,NQ1 Index,28/01/2016,01/02/2016,5910.5,6046.75,51539560,436,1177130,,,,,,
6e49c6f6d9_NQ1Ind_318,NASDAQ 100 E-MINI,NQ1 Index,05/02/2016,16/02/2016,5939.25,5805,49176990,414,-964780,,,,,,
6e49c6f6d9_NQ1Ind_319,NASDAQ 100 E-MINI,NQ1 Index,29/04/2016,10/05/2016,6174.5,6127.25,113116840,916,-578580,,,,,,
6e49c6f6d9_NQ1Ind_320,NASDAQ 100 E-MINI,NQ1 Index,03/06/2016,23/06/2016,6324.75,6210,116122410,918,-2317205,,,,,,
6e49c6f6d9_NQ1Ind_321,NASDAQ 100 E-MINI,NQ1 Index,11/08/2016,16/08/2016,6581.75,6623,208641475,1585,1345495,,,,,,
6e49c6f6d9_NQ1Ind_322,NASDAQ 100 E-MINI,NQ1 Index,25/08/2016,07/09/2016,6586.5,6629.25,218144880,1656,1972220,,,,,,
6e49c6f6d9_NQ1Ind_323,NASDAQ 100 E-MINI,NQ1 Index,21/09/2016,22/09/2016,6604,6654.5,95625920,724,708010,,,,,,
6e49c6f6d9_NQ1Ind_324,NASDAQ 100 E-MINI,NQ1 Index,27/09/2016,28/09/2016,6620.5,6663,89641570,677,563550,,,,,,
6e49c6f6d9_NQ1Ind_325,NASDAQ 100 E-MINI,NQ1 Index,14/10/2016,19/10/2016,6601.5,6629.25,120015270,909,599660,,,,,,
6e49c6f6d9_NQ1Ind_326,NASDAQ 100 E-MINI,NQ1 Index,03/11/2016,08/11/2016,6522.25,6583,142185050,1090,1292155,,,,,,
6e49c6f6d9_NQ1Ind_327,NASDAQ 100 E-MINI,NQ1 Index,27/12/2016,28/12/2016,6748.25,6767.25,124032835,919,349220,,,,,,
6e49c6f6d9_NQ1Ind_328,NASDAQ 100 E-MINI,NQ1 Index,03/01/2017,05/01/2017,6670,6740.75,120060000,900,1458665,,,,,,
6e49c6f6d9_NQ1Ind_329,NASDAQ 100 E-MINI,NQ1 Index,31/01/2017,02/02/2017,6930.5,6953.75,167302270,1207,553545,,,,,,
6e49c6f6d9_NQ1Ind_330,NASDAQ 100 E-MINI,NQ1 Index,09/02/2017,10/02/2017,6997.25,7017.25,212296565,1517,601200,,,,,,
6e49c6f6d9_NQ1Ind_331,NASDAQ 100 E-MINI,NQ1 Index,27/02/2017,28/02/2017,7149.25,7151,233637490,1634,57330,,,,,,
6e49c6f6d9_NQ1Ind_332,NASDAQ 100 E-MINI,NQ1 Index,07/03/2017,13/03/2017,7168.5,7190.75,239714640,1672,733610,,,,,,
6e49c6f6d9_NQ1Ind_333,NASDAQ 100 E-MINI,NQ1 Index,22/03/2017,29/03/2017,7142.5,7213.25,174562700,1222,1228915,,,,,,
6e49c6f6d9_NQ1Ind_334,NASDAQ 100 E-MINI,NQ1 Index,12/04/2017,19/04/2017,7206,7194,182455920,1266,-253185,,,,,,
6e49c6f6d9_NQ1Ind_335,NASDAQ 100 E-MINI,NQ1 Index,18/05/2017,22/05/2017,7383,7457,109416060,741,1071420,,,,,,
6e49c6f6d9_NQ1Ind_336,NASDAQ 100 E-MINI,NQ1 Index,19/06/2017,20/06/2017,7482,7564.75,106543680,712,1125400,,,,,,
6e49c6f6d9_NQ1Ind_337,NASDAQ 100 E-MINI,NQ1 Index,31/07/2017,04/08/2017,7708.25,7687,110690470,718,-429025,,,,,,
6e49c6f6d9_NQ1Ind_338,NASDAQ 100 E-MINI,NQ1 Index,11/08/2017,15/08/2017,7587.75,7711.5,129143505,851,2026840,,,,,,
6e49c6f6d9_NQ1Ind_339,NASDAQ 100 E-MINI,NQ1 Index,21/08/2017,23/08/2017,7599.25,7676.25,100918040,664,1022805,,,,,,
6e49c6f6d9_NQ1Ind_340,NASDAQ 100 E-MINI,NQ1 Index,25/09/2017,28/09/2017,7726.75,7727,145417435,941,8895,,,,,,
6e49c6f6d9_NQ1Ind_341,NASDAQ 100 E-MINI,NQ1 Index,16/11/2017,17/11/2017,8057.25,8133.75,139229280,864,1228590,,,,,,
6e49c6f6d9_NQ1Ind_342,NASDAQ 100 E-MINI,NQ1 Index,06/12/2017,08/12/2017,8063.25,8117.5,115949535,719,780705,,,,,,
6e49c6f6d9_NQ1Ind_343,NASDAQ 100 E-MINI,NQ1 Index,27/12/2017,03/01/2018,8233,8286.25,114603360,696,1020635,,,,,,
6e49c6f6d9_NQ1Ind_344,NASDAQ 100 E-MINI,NQ1 Index,06/02/2018,12/02/2018,8202.25,8207.5,56431480,344,-28420,,,,,,
6e49c6f6d9_NQ1Ind_345,NASDAQ 100 E-MINI,NQ1 Index,02/03/2018,06/03/2018,8533.75,8654.25,40620650,238,573490,,,,,,
6e49c6f6d9_NQ1Ind_346,NASDAQ 100 E-MINI,NQ1 Index,15/03/2018,21/03/2018,8804,8658.5,77299120,439,-1332600,,,,,,
6e49c6f6d9_NQ1Ind_347,NASDAQ 100 E-MINI,NQ1 Index,26/03/2018,27/03/2018,8300.25,8521.75,60259815,363,1448610,,,,,,
6e49c6f6d9_NQ1Ind_348,NASDAQ 100 E-MINI,NQ1 Index,25/04/2018,27/04/2018,8272.75,8490.75,44507395,269,1300880,,,,,,
6e49c6f6d9_NQ1Ind_349,NASDAQ 100 E-MINI,NQ1 Index,25/05/2018,01/06/2018,8703.25,8724.75,84943720,488,270800,,,,,,
6e49c6f6d9_NQ1Ind_350,NASDAQ 100 E-MINI,NQ1 Index,20/06/2018,21/06/2018,8973.75,9036.75,145195275,809,997920,,,,,,
6e49c6f6d9_NQ1Ind_351,NASDAQ 100 E-MINI,NQ1 Index,26/06/2018,02/07/2018,8795,8789.75,98152200,558,-120805,,,,,,
6e49c6f6d9_NQ1Ind_352,NASDAQ 100 E-MINI,NQ1 Index,31/07/2018,03/08/2018,8922,9113.5,76550760,429,1638855,,,,,,
